GO.ID	Significant	test
GO:0009069	5	0.00010
GO:0009071	3	0.00015
GO:0022900	7	0.00020
GO:0016126	3	0.00023
GO:0010035	10	0.00053
GO:0015979	7	0.00076
GO:0042133	3	0.00089
GO:0001505	3	0.00112
GO:0046686	5	0.00122
GO:0009416	9	0.00137
GO:0009314	9	0.00187
GO:0019252	3	0.00221
GO:0005976	8	0.00236
GO:0009640	3	0.00241
GO:1990066	2	0.00252
GO:0006082	15	0.00348
GO:0009773	2	0.00366
GO:0044281	21	0.00382
GO:0006790	7	0.00538
GO:0005982	3	0.00558
GO:0006694	3	0.00558
GO:0042136	2	0.00574
GO:0006544	2	0.00653
GO:0071241	2	0.00653
GO:0008610	9	0.00745
GO:0016125	3	0.00780
GO:0043436	14	0.00842
GO:1901606	3	0.00953
