GO.ID	Term	Annotated	Significant	Expected	test
GO:0009069	serine family amino acid metabolic proce...	61	5	0.47	0.00010
GO:0009071	serine family amino acid catabolic proce...	14	3	0.11	0.00015
GO:0022900	electron transport chain	156	7	1.2	0.00020
GO:0016126	sterol biosynthetic process	16	3	0.12	0.00023
GO:0010035	response to inorganic substance	368	10	2.82	0.00053
GO:0015979	photosynthesis	195	7	1.5	0.00076
GO:0042133	neurotransmitter metabolic process	25	3	0.19	0.00089
GO:0001505	regulation of neurotransmitter levels	27	3	0.21	0.00112
GO:0046686	response to cadmium ion	104	5	0.8	0.00122
GO:0009416	response to light stimulus	346	9	2.65	0.00137
GO:0009314	response to radiation	362	9	2.78	0.00187
GO:0019252	starch biosynthetic process	34	3	0.26	0.00221
GO:0005976	polysaccharide metabolic process	304	8	2.33	0.00236
GO:0009640	photomorphogenesis	35	3	0.27	0.00241
GO:1990066	energy quenching	10	2	0.08	0.00252
GO:0006082	organic acid metabolic process	896	15	6.87	0.00348
GO:0009773	photosynthetic electron transport in pho...	12	2	0.09	0.00366
GO:0044281	small molecule metabolic process	1474	21	11.31	0.00382
GO:0006790	sulfur compound metabolic process	276	7	2.12	0.00538
GO:0005982	starch metabolic process	47	3	0.36	0.00558
GO:0006694	steroid biosynthetic process	47	3	0.36	0.00558
GO:0042136	neurotransmitter biosynthetic process	15	2	0.12	0.00574
GO:0006544	glycine metabolic process	16	2	0.12	0.00653
GO:0071241	cellular response to inorganic substance	16	2	0.12	0.00653
GO:0008610	lipid biosynthetic process	447	9	3.43	0.00745
GO:0016125	sterol metabolic process	53	3	0.41	0.00780
GO:0043436	oxoacid metabolic process	894	14	6.86	0.00842
GO:1901606	alpha-amino acid catabolic process	57	3	0.44	0.00953
